entry_id,page_number,primary_arabic_name,synonyms,full_paragraph,char_count,ocr_confidence,is_plant,confidence,reason,needs_human_review
4,45,ابريم,,"بكر الهمزة والسين المهملة المفتوحة معرب بريشم بالعجمية وهو الحرير
ويسمى بذلك قبل أن يخرقه الدود وبعد الخرق قزا أو القز ماعدا الرفيع وبعد الحل حريرا
اتفاقا وأجوده الاصغر الذى يشتد بياضه إذا غسل وحل وكان رقيقا وربى عند الاعتدال
الاول ولم يطعم دودء سوى ورق التوت الأبيض ولا يغش بغير أنواعه وهو حار فى الأولى
معتدل أو يابس فيها أو رطب يخصب البدن مطلقا ويمنع تولد القمل لبسا والخفقان وضعف
المعدة والرئة أكلا ورماده لقروح العين والدمعة والسلاق والجرب كحلا إذا غل ووقوعه فى
الادوية عند الحل أن يقرض ويسحق مع الجواهر والرازى يطبخ حتى يتهرى وتسقى الادوية
ماءه والمسيحى يحرق فى قدر حديد مثقب الغطاء أو على نحاس أحمر وهذا أضعفها ومتى
خلط مطبوخه بالسكر وشرب فتح الدد وأصلح الالوان جدا ويضر محروقه بالكلى
ويصلحه الاسارون وشربته من واحد إلى ثلاثة وبدله ثلاثة أمثاله ما ميران وفى تخصيب
البدن الكتان الجديد وإذا ادخر وجب أن يبرز إلى الهواء كل أسبوع ويرطب إلا منسوجه",849,0.8837,no,1.0,النص يصف الحرير (الإبريسم) وهو منتج حيواني تفرزه دودة القز، وليس كائناً نباتياً.,No
6,46,ابن عرس,,"باليونانية سطيوس وهو حيوان يألف البيوت بمصر ويسمى العرسه والفرق
بينه وبين الفأر طول رجليه ورأسه وهو حار يابس فى الثالثة عصبى كثير العروق إلى اليس
لا ينضح إلا بعسر يبرئ من السموم كيف كان خصصوصا من طيقون أى النبات الذى تسقى
به السهام فتمء وإذا حشى بالكزبرة والملح وقدد نفع من ذلك أيضا قيل ويهيج الشهوة
ويطرد البرد وينفع الكبد ويوضع مشفوقا فيجذب السم واللا قيل وإذا نزع كعبه حيا
وعلق منم الحمل وأكله يحلل الرياح الغليظة ويضر الاحشاء ويصلحه أن يطصبخ فى الشيرج
أو الزيت ويؤكل بفجل أو بقل",482,0.8583,no,1.0,النص يصف صراحة حيواناً (ابن عرس/العرسه) ويقارنه بالفأر ويذكر أجزاء من جسده، مما يؤكد أنه كائن حيواني لا نباتي.,No
7,46,أباز,,"ليس له غيره هوالرصاص المحرق بالنار فى قدر إذا طبقت صفائحه بالكبريت أو
الاسفيداج واحرق وغل واعيد عمله حتى يكون هباء . وهو بارد يابس فى الثالثة ينفع من
القروح مطلقا سوى الشرى ويصلح العين ويحلل الاورام بالخل طلاء والاستسقاء ويقع فى
المراهم والأشياف وشربه خطر يولد الكرب والغشيان ويوقع فى الامراض وعلاجه القئ
وأشربه الفواكه وإذا لم ينق بلع الزئيق فإنه يخرج به على ما ذكره بعض المجريين وبدله

45 الإسرنج",398,0.8637,no,1.0,النص يذكر صراحة أن المادة هي الرصاص المحرق بالنار، مما يؤكد أنها معدن وليست كائناً نباتياً.,No
11,47,إنمد,,"بالكر الكحل الاصفهانى الأسود والكره وباليونانية سطينى وهو من كبريت
ضعيف ورئبق ردئ عقدتهما الرطوية الغربية يالحرارة الضعيفة فلذلك أسودٌ ومولده جبال
فارس والمغرب وأجوده الرزين والبراق السريع التفتت اللذاع بين مرارة وحلاوة وقبض وهو
بارد فى اول الثالثة يابس فى آخرها واختلف فى طيعه على عدد الدرج وهو قابض مكثئف
يشد الأعصاب ويقطع الدم مطلقا حيث كان خصوصا بالشحوم وتغسله أهل مصر بماء طوبة
يعنى كانون الثشانى فيصير غاية فى حدة اليصر وحفظ صحة العين خصوصا بالمسك ومتى
عجن بالشحوم واحرق وطفئ فى لبن من ترضع الذكر وسحق مع اللؤلؤ وزبل الحردون

10 والسكر النقى جلا الغشاوة والبياض مجرب ويمنع بروز المقعدة صمادا بعسل أو شحم
والقروح ذرورا ومع حصا لبان الجاوى يغنى عن تقطيب الجروح بالإير مجرب ومن لم يعتده
يرمده ويقذى عينه آولا ومع الحضض والسماق يقطع الرطوبات ويشد الاجفان وينبت اللحم
النافص ويزيل الزائد ومع الاسفيداج حرق النار وشرب درهم منه فى أربعة أيام يمنم الحبل
ويبك مع الفضة فيفعل بها كالقصدير ويبك بالصابون أياما فيعود رصاصا يقيم الاجساد
وهو سم قتال يكرب ويغئى ويجلب السرسام واللهيب والاختناق وعلاجه القئ باللبن
والعسل وأخذ الربوب الحامضة والامراق الدهنية وقد يضر بالمماصل ويصلحه البادزهر
وشراب الاترج وقد يقوم مقامه الابار وزنه أو نوتيا أو لؤلؤ غير مثقوب كذلك أو نصف
وزنه نحاس محرق",1174,0.8595,no,1.0,المادة الموصوفة هي الإثمد (حجر الكحل)، وهو معدن طبيعي (سلفيد الأنتيمون) يستخرج من الجبال وليس كائناً نباتياً.,No
14,48,اثناسيا,اثلق | ابرر,"وبألف بعد اللمثلثة باليونانية يطلق على
تركيب خصاص تعريبه المنقذ من الامراض ويعزى إلى جالينوس وقيل أقدم وأجوده الممتدل
القوام االبسافى فيه رائحة الشراب ويغش بالبرشعئا ويعرف بطعم البلان وهو حار فى أول
الثالئة يابس فى آخرها أو فى الثانية ينفع من السعال المزمن والصداع وأوجاع الصدر والمعدة
وقذف المدة والدم وضعف الكبد والأمراض البلغمية ويخلص من الموم المشروبة ومن
أمراض المقعدة طلاء وشربا ويتعمل فى الاستقاء يماء الكرفس والسموم باللبن والقولئج
بطبيخ الشيث وعر اليول بماء النجيل والشبث وشربته من ربع مثقال إلى درهم بعد ستة
أشهر من طبخه وتنقص قوته بعد أربع سنين",555,0.8595,no,1.0,"النص يذكر صراحة أن المادة عبارة عن ""تركيب خاص"" (دواء مركب أو معجون) يُعرف بالمنقذ من الأمراض، وليس نباتاً مفرداً.",No
15,48,وصنعته,,"زعفران مرقد دمانا خشخاش أسود
سنبل أصل الغافت وعصارته كبد الذئب قرن المعز الأيمن محرقا سواء تنقع بمثلث أو شراب
أسبوعا ثم تعجن بثلاثة أمثالها علا منزوعا وترفع فى الرصاص والفضة وإذا فقد قرن المعز
وكبد الذئب يعتاض عنهما بميعة وقط وعود بلسان وأقيون كالبواقى وغافت مثل أحدها
وأصل السوس ثلاثة أمثاله فقتسمى الصغرى وعندهم أنها تفعل ما ذكر والصحيح أن هذه أليق
بالامزجة الخارة من تلك",373,0.8595,no,1.0,النص يصف طريقة تحضير دواء مركب (معجون يسمى أثناسيا) يتكون من خليط من مواد نباتية وحيوانية، وليس كائناً نباتياً مفرداً.,No
17,49,أجر,,"يونانى كثر استعماله بالعربية كذا وهو رما اللبن أو اللبن الذى لم يحرق ويمصر
العطوب وبالأغريقى فسيله والعبرى أقيس والافرنجى يبوله وهو تراب يحكم وتقريصه ثم
يحرق ليبنى به وأجوده ما عمل صيفا واحكم حرقه فخف ضاريا إلى الصفرة من تراب حر
أو حجر ويغش بالخزف والفرق رزانة الخزف وميل باطنه إلى البياض وهو حار فى الثانية
يايس فى الرايعه جلاء مقطم يفت الخصى شربا بماء الكرفس ويمنع الشرى بماء الحصرم ويقطع
الدم ويلحم الجررح ويض مد به الورم والترهل والاستسقاء غير الطبلى فيحلل بالغا ودهنه
بدل دهن البلسان فى سائر افعاله وربما كان أجود يذهب أوجاع الباردين والنقرس والمفاصل
والنسا والبواسير والدد والطحال وأوجاع الصدر والاورام وأمراض العين والاذن والانف
وبالحجملة فمنافعه لا تحصى علدا وكلها عن تجربة",681,0.8668,no,1.0,"النص يصف ""الأجر"" وهو الطوب المصنوع من الطين أو التراب المحروق المستخدم في البناء، فهو مادة معدنية وليس كائناً نباتياً.",No
18,49,وصنعته,,"أن يحمى الاجر الجيد على
فحم الصنوبر حتى يصير نارا ويطفا فى الزيت هكذا إلى أن تذهب صورته بالتفتت فيحشى
فى القرعة ويستقطر فى الإنبيق ويرفع والاجر يضر بالمعدة ويصلحه الخل وبالكلى وتصلحه
الكثيرا وقدر شربته إلى درهم وبدله الزجاج المحرق أو الصدف",239,0.8668,no,1.0,"المادة المقصودة هي ""الآجر"" (الطوب المصنوع من الطين) وهو مادة من أصل معدني/أرضي وليس كائناً نباتياً.",No
21,49,أحداق المرضى,أحريض | أحداق البقر | أخناء البقر,"بالمعجمة ما فى أجوافها فى الأصل ويطلق على الروث لم يذكره فى المقالات ولا مالا يسع
على أنه فى الأاصل وأجوده المأحوذ زمن الربيع لاجتماعه من نبات شتى ومن صفر البقر
وحمرها وهو حار فى الثانية يابس فى الثالثة يحلل الاورام والترهل والاستسقاء مع الخل
والبورق ‎٠‏ ويسكن لزغ الهوام مع التين ضمادا والتنوءات مع دقيق الشعير وأوجاع الساقين
والمفاصل ويفجر الخراج خصوصا مع الزعفران التتوءات وأورام الثديين مع الباقلا ويقطع
الدم مطلقا ويدمل » وعصارة رطية تذهب الصمم قطورا وإذا عجن بماء الاسقيل أذهب
القراع والسعفة وداء الثعلب مجرب ويدمل الجراح وشربه بالشراب يدفع ضرر السموم
ويقاومها ودخانه يطرد الهوام وهو يحدث العال ويصلحه لبن الضان وشربته إلى مثقالين
ولا أعلم له بدلا

غ2",657,0.8668,no,1.0,"النص يصف المادة بأنها ما يوجد في أجواف البقر ويطلق عليها ""الروث""، مما يصنفها كفضلات أو إفرازات حيوانية وليست نباتاً.",No
29,51,آذان,,"تابعة للغضاريف فى الاصح لقلة ما عليها من الجلد والعصب وهى باردة يابسة فى
الثانية قليلة الغذاء عسرة الهضم تول القولنج ويصلحها الأبازير والخل وتركها للناقهين أولى",160,0.8658,no,1.0,النص يصف الخصائص الغذائية والطبية لآذان الحيوانات كأجزاء تشريحية مكونة من غضاريف وجلد، مما يجعلها منتجاً حيوانياً وليس نباتاً.,No
