entry_id,page_number,primary_arabic_name,synonyms,full_paragraph,char_count,ocr_confidence,is_plant,confidence,reason,needs_human_review
1,44,الوسن,,"وتحذف الواو يونانى هو رجل الغراب وبمصر جذر لاشيطان والشام حشيشة
النجاة والسلحناة لانها ترعاه كثيرا وتعريبه الكلب يطول إلى ذراع بساق كالرازيانج وورقه بين
حمرة وسواد وظهره إلى الغيرة أشبه ما يكون بالخلة لولا تفريعه وأكاليله إلى عرض يير
بطبقتين يفرق عن برز كالنانحواه إلى الخضرة والحدة والحرافة والمرارة وثقل الرائحة ويغش
بالوخشيزك والفرق بينهما المرارة وما قبلها هنا ويقطف أول حزيران أعنى بشنس ويوليه وهو
حار فى أول الثالثة يابس فى أول الرابعة وقيل حرارته فى الثانية وييه فى الأولى وقطفه
طلوع الشعرى اليمانية وهو جلاء بالحدة مقطع بالمرارة محلل منفذ بالحرارة يبرئ الآثار طلاء
بالعسل وكذا القرع وبثور الرأس والزكام سعوطا وضيق النفس سعوطا وبلغم القصبة ووخام
المعدة وينقى الكلى ويدر الفضلات شربا بالعسل والقولنج ويهضم الطعام ويخرج الرياح
الغليظة وبلغم الوركين والمفاصل قيل وإذا علق على الرأس فى خرقة حمراء سكن الصداع
ويضر بالكبد ويصلحه الكثيرا وشربته إلى درهمين وبدله حشيثة الفارة أو حب الغار مثل
نصفه أو مثلاه نانخواه",912,0.8756,yes,1,"يصف النص بوضوح كائناً نباتياً له ساق تشبه الرازيانج وأوراق وبذور (بزر) وأكاليل زهرية، ويُذكر له أسماء مرادفة كـ ""رجل الغراب"" و""حشيشة النجاة"".",No
2,44,اطريال,,"بربرى تعريبه رجل الطير لشبهه بها فى الاظفار ويسمى أيضا جزر الأرض
والشيطان وهو كالشبث ساقا والخلة صفة لكنه أيضا مفرق وزهره أبيض يخلف برا إلى
الغبرة حاذ حريف مر الطعم ثقيل الرائحة إلى طول مشرف الاوراق مربع الاصل يقطف من
نصف إيار إلى نصف حزيران ويغش بالخلة ويعرف بالحدة وبالبقدونس ويعرف بنقص المرارة
فى ذلك وأجوده الرزين الحديث وهو حار يايس فى الرابعة أو يه فى الشالثة يكن أنواع
الرياح حتى الايلارس أكلا ولو بلا عسل ويجلو الات النفس ويتاصل شافة البلغم حيث
كان كل ذلك عن تجربة ويدر الفضلات ويفتح الدد بطعومه وحرارته وينقى الكلى والثانة
ويحرق مع الزجاج فيفتت الحصى شربا بالعل ‎٠١‏ ويجفف القروح ضمادا ويسقط الاجنة لا
123 بمجرد نفخه فى الاذن بل مطلقا ء ويزيل الآثار طلاء بالقطران وقيل ينتفع من الكلب ولو
خاف الماء كالآلوسن ولم يثبت ‎٠‏ واما نفعه من البرص فآمر يقينى قد تقرر وكيفية استعماله
أن يشرب مقردا ثلاثة دراهم وحده إذا قدم البيرص أو كان البياض فى الأعصاب والعظام
كمفصل الركبة والجبهة خمسة عشر يوما أو مركبا من واحد إلى اثنين مع نصف درهم من
كل من ورق السذاب وسلخ الحية وجربته بشرب درهم واحد مع مثله من كل من التربد
والزنجبيل والعاقر قرحا فأبرا المزمن فى مرة واحدة وشرطه كشف الاماكن فى الشمس يوما
وعدم تناول الماء وهو يضر الكبد الحارة ويصلحه الكنجبين والكلى ويصلحه الكثيرا وبدله
فى سوى البرص مثله بقدونس ونصفه نانخواه وسدسه كندس.",1226,0.8837,yes,1,"النص يصف كائناً نباتياً له ساق وأوراق وأزهار وبذور ويُعرف بأسماء ""جزر الشيطان"" و""رجل الطير""، وهو ما يطابق نبات ""الخلة الشيطانية"" علمياً.",No
3,45,إيهل,,"بكر الهمزةوالهاء أو فتح الهمزة وضم الهاء هو بيوطس باليوانية وهو صنف من
العرعار أو هو نفه منه صغير الورق كالطرفا وكبير كالسرو ويقارب التبق فى الحجم أحمر
اللون فإذا تم استواؤه أسود ينكسر عن أغشية كنشارة مودة داخلها نوى مختلف الحجم فيه
حلاوة وقبض وحدة يجمع فى رأس السرطان وأجوده الرزين الحديث الاسود ويغش بالسرو
وهو أصغر منه وبالطرفا ويعرف بالسواد والنضرة فى الورق وهو حار يابس فى الثانية أو فى
الثالثة أو ييسه فقط فى الثالثة بالغ النفع فى الأواكل والآثار والعفونات حيث كانت والتحليل
التلطيف والجلاء وادرار الطمث حتى يبول الدم وإسقاط الاجنة دلكا وشريا بالعل ويطبخ
فى الادهان يفتح الصم وإن قدم قطورا وفى السمن ويمقد بالعل فيخرج آفات البطن
كالديدان أكلا ومسحوقه بالعل يذهب الربو والبواسير أكلا وداء التعلب طلاء مجرب وهو
كورقة فى تحليل الاورام والإدمال وملعم سعى القروح والنملة ذرورا وتنقية الاوساخ دلكا
ويضر بالكبد ويصلحه الخولنجان وبالخلق والمعدة ويصلحه الحماما أو السمن أو العل وبدله
مطلقا مثله من كل السليخة وجوز السرو وفى التلطيف الدارصينى وشربته من اثنين إلى
ثلاثة",964,0.8837,yes,1,"النص يصف شجر ""الأبهل"" (الذي ورد في الكتاب باسم إيهل) كصنف من أنواع العرعار، موضحاً خصائصه النباتية مثل شكل الأوراق، وألوان الثمار، ووجود النوى، ومواعيد الحصاد.",No
5,46,أبو قابس,,"أو قابوس يونانية هو أبو حلا بالبربرية وسياتى وقوع هذا الاسم على خس
الحمار وبالعراق شب العصفر وبالعربية الأشتان والحرض وخرء العصافير وبالفارسى بثاله
وعصارته القلى إذا أحرق أو شمس وقيل لا يكون قليا لإرماده وهو ينبت بالباخ الحجرية
ويطول إلى ذراع ومنه ما يلصى بالارض وورقه مفتول وزهره أبيض غليظ الاصل فيه ملوحة
وحدة وشدة مرارة وأجوده الحديث الضارب إلى الصفرة والخضرة وأضعفه الابيض ويجتنى
فى الثور والجوزاء وهو حار يابس فى الثانية ورطبه فى الشالثة مقطع ملطف جلاء محلل
مفتح بالحرافة والحدة يقلع الاورساخ حيث كانت بمرارته » ويجلو سائر الآثار لطوخما
بالعلء ويزيل الربو وضيى النفس والبلغم والنخام ‎٠‏ ويدر سائر الفضلات ويذهب عسر
البول والاستسقاء والأجنة ولو حمولا وماؤه القاطر ويلحى الادس بالاول إذا طفئْ فيه
وموع بالتشادر وأعيد سبكه إلى أحد وعشرين وعند الثقات إذا دمس بالزجاج وقشر الييض
ليلة ثم فعل به ما ذكر كان غاية ويضر بالمعدة والكلى ويصلحه العسل وبال قل ويصلحه
العناب وشربته إلى ثلائة ومطبوخا إلى عشرة ولا يكون سما إلا هذا القدر من عصارته وأهل
مصر تشريه مع السنا فى النار الفارسية والحكة ولا أثر لحرارته وذكره ما لا يسع فى الالف
والشين غلطا",1037,0.8583,yes,1,النص يصف كائناً نباتياً له أوراق وزهور وجذور، وينبت في الأرض ويُجتنى في مواسم محددة، ويُعرف بأسماء نباتية مشهورة مثل الأشنان والحرض.,No
8,47,ابزار القطة,أترج,"معروف وباليونانية ناليطي ون يعنى ترياق السموم ومنه
يونانى وبالعربية متكا أيضا والسريانية لتراكين وهو ثمر شجر يطول ناعم الورق والحطب
ويدرك عند شمس القوس وأجوده الاملس الطوال الكبار النضيجة وأردؤه ما مال إلى
استدارة ومنه ما فى وسطه حماضص وهو مركب القوى قشرهء حار يابس فى آخر الثانية أو
بيه فى الأولى ولحمه حار فيها رطب فى الثانية وكذا بزره وقيل بارد وحماضه بارد يابى
فى الثانية مفرح ينفع الرئيسة ويزيل الخفقان والسدد ويحلل الرياح الغليظة ويقوى المعدة
ورماد قشره يذهب البرص طلاء ومجموعه يحلل الاورام والدبيلات رذا طبخ بخمر وطلى به
والمفاصل والنقرس على ما ذكر وحماضه يحل الجواهر ويتفع من اليرقان ويقوى الشهوة
وبزره إلى ثلاثة ثرياق الموم بالشراب خصوصا العقرب وإذا حل مع اللؤلؤ بحماضه فى
الحمام فى قارورة نفع بالاشرية من كل سم ومرض فى الاعضاء الأربعة والزحير مسجرب
ولحمه ردئ يضر المعدة ويصلحه السكنجبين ورائحته تجلب الزكام ويصلحه العو وشربته إلى
عشرة",844,0.8637,yes,1,النص يصف شجرة لها ثمر وورق وحطب، والاسم المرادف (أترج) يشير صراحة إلى ثمرة نباتية معروفة.,No
10,47,أئل,,"العظيم من الطرفاء بالبربرية أغرطا واليونانية قسطارين ثمره الكزمازك وبالجيم
بالعراق الابهل وبمصر العذبة أو العذبة الصغار التى داخخل الحب وهو يقارب الرو لكنه
أخشن ورقا من جهة مزغب لا زهر له يل ثمر كالحمص فى أغصانه إلى غبرة رصفرة يتكر
عن حب صفغار ملتصق وماؤه أحمر وأجوده الحديث المأخموذ فى حزيران يعنى بؤنة ويوليه
وهو بارد فى الاولى وقيل حار يابس فى الثانية قابض بالعفوصة جلاء مفتح بالمرارة إذا طبخ
بخمر قوى الكبد مطلقا وبالماء مع العفص والرمان يقوم مقام حبوب الزئبق والشويصينى فى
إرالة القروح والنار الفارسية والاكلة والنملة شربا معجرب ورماده يشد اللثة ويخلو الاوساخ
خصوصا من الأسنان ويقطع الدم كيف استعمل وماؤه حكى لى من أثق به أنه إذا سقى به
الكبريت عشرة أوزانه وقطر سبع دفعات صبغ الأول رابعا وأزال الآثار ومنم الشيب شربا
وطبيخه أو رماده بالزيت يشد الشعر والمقعدة وييخر به الجدرى فيقطه بعد الاسبوع وكذا
البواسير ومع اللنج يمنم وجم الأسنان وهو يضعف المعدة ويصلحه الصمغ والشربة من
طبيخه إلى نصف رطل ومن عصارته إلى اربع أواق ومن ثمره إلى ثلاثة دراهم وبدله
العرعار أو جور السرو",973,0.8637,yes,1,النص يصف شجر الأثل (الذي ورد في النص باسم أئل) وهو نوع من شجر الطرفاء، ويفصل في وصف أوراقه وثماره وخصائصه الطبية.,No
16,48,إجاص,,"هو الخوخ والمركش منه بالفارسية هو البرقوق بمصر وآلوجة بالمجمية هو
القيصرى بيحلب والشاء لوجه الابيض الكبار وعيون البقر بالمغرب الأسود منه عندنا ولا
وجود لما عدا البرقوق من أصنافه بمصر وكله معدوم فى البلاد التى عرض ها أقل من أربعة
وعشرين وشجره يطول إلى ثلاثة أذرع وربما زاد ناعم الورق سبط العود قليل الاحتمال
للعنف قشر عوده إلى المرارة كورقة وا ممى بالمخوخ فى مصر ليس منه بل هو الدارقن
ويطلق الإجاص على الاسود اليابس من أصنافه عرفا طبيا والخوخ على رطبه مطلقا منه برى
ويستانى ويركب أحدهما فى الآخر وكل فى اللوز والمشمس وهو بارد فى الثانية رطب فيها
وقيل فى الأول وحامضه يابس فى الثانية وقيل فى الثالئة يسكن العطش واآمراض الحارين
كلها والذلفة والغثيان والقئ ويحبى الدم ويطلق بالتلبين سيما ماؤه ويفتح السدد ومع الخل
يجفف القروح طلاء خصوصا فى الصبيان وورقه يقتل الدود طلاء على البطن مجرب
وذرورا على الجروح العتيقة وطبيخ سائر أجزائه يسكن الصداع وأوجاع اللثة نطولا
وغرغرة. ومن خواصه أن حامضه لا يضر بالعال ويقطع صمغه القوابى طلاء بخل

4 والمصى شربا ويدر البول ويهل يالغا بالعل ويضر الدماغ ويصلحه العناب والمعدة
ويصلحه السكنجبين والمبرودين ويصلحه العل أو المصطكى أو الكندر وقدر ما يستعمل منه
إلى نصف رطل وبدله فى اللهيب والغئيان التمر هندى أو الزعرور وبريه المعروف فى مصر
بالقراصيا مثل بستانية فيما ذكر لكنه أقل نفعا",1206,0.8668,yes,1,يصف النص شجرة ذات ورق وعود وأصناف من الثمار (مثل البرقوق والخوخ)، مما يؤكد أنها كائن نباتي.,No
19,49,أحيون,,"بالمهملة يونانى تعريبه راس الافعى لم يذكره فى المقالات وهو تمنشى دقيق الورق
إلى استقامة فى رءوسها زهره فرفيرى يخلف ثمرا إلى السواد دقيق الاصل كأنه رأس حية
ليس فى وسطه بزر بل رطوبة وعلى ورقه كذلك يدبق بالاصابع ويؤخذ فى تشرين الأول
اعنى بابه ولا يغش بشئ حار فى الشانية رطب فى الاولى يقاوم الموم ويحمى عن القلب
وإن أخذ قبل ورود السم لم يؤثر ويذهب وجع الظلهر ويفتت الحصى ويدر الفضلات ويتفع
من المفاصل والنسا ويضر بالدمويين ويحدث البثئور والحكة وتصلحه الالبان وشربته من
درهمين إلى مثقالين وبدله حب الاترج",499,0.8668,yes,1,"النص يصف نبات ""الأحيون"" (أو الأخيون) المعروف بـ ""رأس الأفعى"" بخصائصه النباتية كالأوراق والزهور والثمر والجذور، وهو جنس نباتي يسمى علمياً Echium.",No
24,50,إذخر,,"بالمعجمة الخلال المأمونى وبمصر حلفاء مكة وهو نبات غليظ الاصل كثير الفروع
دقيق الورق إلى حمرة وصفرة وحدة ثقيل الرائحة عطرى يدرك بتمور اعنى أبيب وأجوده
الحديث الاصفر المأخوذ من الحجار ثم مصر والعراق ردئ ويغش بالكولان والفرق صغر
ورقه ويقال إن منه آجامى وأنكره بعضهم وهو الظاهر حار فى الثالثة ويل فى الثانية يابس
فيهاوقيل فى الأرلى جلاء مفتح مقطع بحرارته وحدته يحلل الأورام مطلقا ويسكن
الاوجاع من الاسنان ورغيرها مضمضة وطلاء ويقاوم الموم ويطرد الهوام ولو فراشا ء»
ويدبر الفضلات ويفت الخصى ويمنع نفث الدم وينقى الصدر والمعدة ومع المصطكى الدماغ
من فضول البلغم وبالسكتجيين الطجال ويماء النجيل عسر البول ولو استنجاء ومع الفلفل
الغثيان ميجرب وهو يضر الكلى والمحرورين ويصلحه الغل بماء الورد وشربته إلى مشقال
وبدله راسن أو قط مر وبدل فقاحه قصب ذريرة",738,0.8703,yes,1,"النص يصف ""الإذخر"" صراحة بأنه نبات له أصل وفروع وورق، وهو المعروف علمياً باسم Cymbopogon schoenanthus.",No
25,50,آذريون,,"معرب من اللطينية عن كاف عجميةوهو بخور مريم عندنا وبالسريانية حرطاماه
وبالبريرية جول شابن وبالفارسية ملجول تمنشى يدور مع الشمس أغبر دقيق الورق خحفى
الزغب أسمانجونى الزهر يحيط ببرز أسود كبرز الشقيق إلى حمرة ما ثقيل الرائحة يدرك فى
بشنس أعنى إيار وهو حار يابس فى الثالثة . وقيل حرارته فى الثانية فوى التفتيح والجلاء
والتقطيع ينقى الدماغ والصدر والاحشاء ويعادل الاطريلال فى حل القولنج ويخرج الهوام
من البطن والمنزل وثهرب منه حيث كانت خصوصا الذباب ويفتت الحصى ويدر الفضلات
ويسقط الاجنة ولو مسكا فى اليسرى وطبق اليمنى عليها ويحبل العواقر احتمالا لا تعليقا
ويفتح سدد الدماغ ويعيد ما ذهب من الشم ويحد البصر سعوطا ويصلح الاسنان غرغرة وام
الصبيان 2 ويذهب الاستقاء والطحال واليرقان مطلقا ‎٠‏ والمفاصل والنا والخنازير طلاء لا
تعليقا ولولا شدة حرارته لقرح لكنه يكرب ويضر بالمحرورين ويصلحه السكنجبين والطحال
ويصلحه الفانيذ أو العسل والشربة من عصارته إلى أربعة مثاقبل ومن أصله إلى مثقال وبدله
نصف وزنه عرطيثا أو مثله ونصف سليخة وربع وزنه زعفران",929,0.8703,yes,1,النص يصف نباتاً عشبياً يسمى الآذريون بذكر خصائصه كدقة الورق ولون الزهر واتباعه للشمس واستخداماته الطبية كعشبة.,No
